,min,max,mean,std
ID,1.0,3055.0,1528.0,882.046862
LONGITUDE,-5.433317,35.9375,14.122218,8.819526
LATITUDE,31.000122,45.773899,39.565814,3.236831
VOTEMPER_2015-01-01,9.13813,19.8673,14.832489,1.950987
VOTEMPER_2015-02-01,8.06912,18.6943,13.884415,1.916187
VOTEMPER_2015-03-01,9.40634,18.2394,13.919427,1.82317
VOTEMPER_2015-04-01,12.1964,19.5335,15.377617,1.335799
VOTEMPER_2015-05-01,15.3978,23.3544,18.957158,1.283886
VOTEMPER_2015-06-01,19.5731,26.3893,22.662022,0.913793
VOTEMPER_2015-07-01,21.171,29.4086,26.280743,1.422852
VOTEMPER_2015-08-01,20.1182,31.045,26.990995,1.791917
VOTEMPER_2015-09-01,19.1741,30.1113,25.117954,2.01408
VOTEMPER_2015-10-01,17.6811,27.8889,21.960631,2.20575
VOTEMPER_2015-11-01,14.6428,24.2051,19.153363,1.941792
VOTEMPER_2015-12-01,10.7875,21.4798,16.628322,1.873979
VOTEMPER_2015_winter,9.48083,19.743033,15.115075,1.883001
VOTEMPER_2015_spring,13.164233,20.294,16.084734,1.362492
VOTEMPER_2015_summer,20.5752,28.706533,25.311254,1.275815
VOTEMPER_2015_autumn,18.013933,27.1721,22.077316,1.971432
VOTEMPER_2015_year,16.313842,23.508783,19.647095,1.418621
maxTemp_year,21.6264,31.045,27.197355,1.556451
minTemp_year,8.06912,18.2394,13.818756,1.894211
VOTEMPER_2015-01-01_maxDepth,9.13557,19.7465,14.479165,1.759417
VOTEMPER_2015-02-01_maxDepth,8.0554,18.6775,13.698434,1.960626
VOTEMPER_2015-03-01_maxDepth,9.2865,17.9265,13.749909,1.740572
VOTEMPER_2015-04-01_maxDepth,10.4102,19.4751,14.477,1.453767
VOTEMPER_2015-05-01_maxDepth,11.0229,23.5796,15.683131,2.055187
VOTEMPER_2015-06-01_maxDepth,11.4743,26.614,16.971944,3.127502
VOTEMPER_2015-07-01_maxDepth,11.8074,29.2041,18.208613,4.491085
VOTEMPER_2015-08-01_maxDepth,12.1363,31.2817,19.049609,5.25585
VOTEMPER_2015-09-01_maxDepth,12.2045,30.1419,18.863947,4.655693
VOTEMPER_2015-10-01_maxDepth,12.2086,27.8318,18.068731,3.541023
VOTEMPER_2015-11-01_maxDepth,12.2103,24.2884,16.972155,2.479417
VOTEMPER_2015-12-01_maxDepth,11.5786,21.5311,15.653537,1.716477
VOTEMPER_2015_winter_maxDepth,9.67444,19.644367,14.610379,1.662587
VOTEMPER_2015_spring_maxDepth,10.47587,20.2068,14.63668,1.496221
VOTEMPER_2015_summer_maxDepth,11.806,28.9084,18.076722,4.26065
VOTEMPER_2015_autumn_maxDepth,12.2078,27.1855,17.968278,3.423906
VOTEMPER_2015_year_maxDepth,11.986067,23.431892,16.323015,2.200062
maxTemp_year_maxDepth,12.2116,31.2817,19.841946,5.092519
minTemp_year_maxDepth,8.0554,17.8691,13.496307,1.852868
VOSALINE_2015-01-01,27.0438,39.7105,38.131828,0.899167
VOSALINE_2015-02-01,27.119,39.413,38.134601,0.879374
VOSALINE_2015-03-01,27.4024,39.3725,38.1188,0.915936
VOSALINE_2015-04-01,26.0347,39.5421,38.090015,1.026242
VOSALINE_2015-05-01,23.1235,39.5658,38.091965,1.153027
VOSALINE_2015-06-01,22.8905,39.6529,38.092207,1.184999
VOSALINE_2015-07-01,25.7076,39.6863,38.167856,1.143315
VOSALINE_2015-08-01,28.1019,39.7641,38.23301,1.052645
VOSALINE_2015-09-01,28.0252,39.8357,38.26626,1.010953
VOSALINE_2015-10-01,26.4216,39.9232,38.207579,1.043653
VOSALINE_2015-11-01,25.2875,39.9147,38.178101,1.057294
VOSALINE_2015-12-01,23.9347,39.944,38.157375,1.12151
VOSALINE_2015_winter,26.0325,39.681567,38.141268,0.949638
VOSALINE_2015_spring,25.5202,39.493467,38.10026,1.025189
VOSALINE_2015_summer,25.566667,39.7011,38.164358,1.109208
VOSALINE_2015_autumn,26.5781,39.8912,38.217314,1.022138
VOSALINE_2015_year,25.924367,39.608208,38.1558,0.994936
maxVosa_year,28.1019,39.944,38.492168,0.793957
minVosa_year,22.8905,39.3725,37.809681,1.340622
VOSALINE_2015-01-01_maxDepth,33.0413,40.0597,38.280669,0.633378
VOSALINE_2015-02-01_maxDepth,32.5256,40.0224,38.250256,0.653609
VOSALINE_2015-03-01_maxDepth,33.0587,39.7983,38.265506,0.613496
VOSALINE_2015-04-01_maxDepth,34.4781,39.7485,38.257332,0.612606
VOSALINE_2015-05-01_maxDepth,35.2211,39.7843,38.280847,0.579916
VOSALINE_2015-06-01_maxDepth,35.6606,39.81,38.299233,0.571375
VOSALINE_2015-07-01_maxDepth,35.841,39.9555,38.326925,0.550442
VOSALINE_2015-08-01_maxDepth,34.8854,40.1643,38.338002,0.573363
VOSALINE_2015-09-01_maxDepth,35.0228,40.2264,38.357412,0.573646
VOSALINE_2015-10-01_maxDepth,33.9668,40.025,38.34543,0.608601
VOSALINE_2015-11-01_maxDepth,33.3436,40.0667,38.334193,0.639112
VOSALINE_2015-12-01_maxDepth,33.992,40.093,38.352984,0.612864
VOSALINE_2015_winter_maxDepth,33.4202,40.058367,38.294637,0.60762
VOSALINE_2015_spring_maxDepth,34.252633,39.777033,38.267895,0.597023
VOSALINE_2015_summer_maxDepth,35.8289,39.9766,38.321387,0.556699
VOSALINE_2015_autumn_maxDepth,34.366733,40.106033,38.345678,0.595386
VOSALINE_2015_year_maxDepth,34.755475,39.979508,38.307399,0.569218
maxVosa_year_maxDepth,36.346,40.2264,38.522807,0.475015
minVosa_year_maxDepth,32.5256,39.7485,38.082575,0.74197
CHL_2015-01-01,0.0,2.93453,0.300755,0.270419
CHL_2015-02-01,0.0,2.70863,0.309482,0.266016
CHL_2015-03-01,0.0,2.22026,0.270163,0.31504
CHL_2015-04-01,0.0,3.99479,0.227579,0.334405
CHL_2015-05-01,0.0,3.29323,0.18106,0.318987
CHL_2015-06-01,0.0,2.9417,0.128014,0.208936
CHL_2015-07-01,0.0,2.67691,0.111676,0.175802
CHL_2015-08-01,0.0,2.98747,0.145334,0.318054
CHL_2015-09-01,0.0,2.8335,0.168599,0.239536
CHL_2015-10-01,0.0,2.73088,0.198009,0.261244
CHL_2015-11-01,0.0,2.33625,0.209473,0.232378
CHL_2015-12-01,0.0,3.99763,0.297711,0.434192
CHL_2015_winter,0.0,2.093003,0.302649,0.270048
CHL_2015_spring,0.0,2.74546,0.226267,0.286206
CHL_2015_summer,0.0,2.48151,0.128341,0.194178
CHL_2015_autumn,0.0,2.45259,0.192027,0.235985
CHL_2015_year,0.0,2.276778,0.212321,0.224077
maxCHL_year,0.0,3.99763,0.457514,0.552692
minCHL_year,0.0,1.45441,0.093383,0.099314
NIT_2015-01-01,0.003164,36.1174,1.078879,3.182273
NIT_2015-02-01,0.002296,25.6643,1.091087,2.89331
NIT_2015-03-01,0.001382,43.004,0.922841,2.869939
NIT_2015-04-01,0.003156,63.8063,0.865388,3.30285
NIT_2015-05-01,0.007273,41.1835,0.957234,3.204371
NIT_2015-06-01,0.008155,46.9289,0.931745,2.946483
NIT_2015-07-01,0.010548,31.3454,0.789456,2.394862
NIT_2015-08-01,0.010343,21.2779,0.58603,1.773354
NIT_2015-09-01,0.007325,17.6739,0.500102,1.799127
NIT_2015-10-01,0.004137,28.5004,0.457075,1.913907
NIT_2015-11-01,0.001867,29.5775,0.536405,2.141392
NIT_2015-12-01,0.002293,80.0626,0.847226,3.570901
NIT_2015_winter,0.002896,47.281433,1.00573,3.038684
NIT_2015_spring,0.005592,49.331267,0.915154,3.045928
NIT_2015_summer,0.01022,33.184067,0.769077,2.344865
NIT_2015_autumn,0.005417,25.2506,0.497861,1.920732
NIT_2015_year,0.006786,38.761842,0.796956,2.550407
maxNIT_year,0.013048,80.0626,1.568294,4.211186
minNIT_year,0.001382,17.6739,0.345742,1.586262
NIT_2015-01-01_maxDepth,0.002991,25.0619,1.860973,3.23366
NIT_2015-02-01_maxDepth,0.001245,30.6498,1.689453,3.217979
NIT_2015-03-01_maxDepth,8.7e-05,26.9365,1.554112,2.944043
NIT_2015-04-01_maxDepth,0.00013,26.8769,1.451461,2.860259
NIT_2015-05-01_maxDepth,2.9e-05,29.1366,1.438537,2.792169
NIT_2015-06-01_maxDepth,1.6e-05,26.3187,1.384388,2.573137
NIT_2015-07-01_maxDepth,1.6e-05,26.0458,1.328968,2.416321
NIT_2015-08-01_maxDepth,1.1e-05,24.5328,1.322999,2.218278
NIT_2015-09-01_maxDepth,0.000243,23.5927,1.382594,2.276182
NIT_2015-10-01_maxDepth,0.001267,20.2266,1.397962,2.269456
NIT_2015-11-01_maxDepth,0.001253,27.5566,1.501579,2.369048
NIT_2015-12-01_maxDepth,0.002329,22.8183,1.62383,2.489514
NIT_2015_winter_maxDepth,0.002837,24.882967,1.724752,2.928249
NIT_2015_spring_maxDepth,0.000459,27.518267,1.48137,2.842432
NIT_2015_summer_maxDepth,1.4e-05,25.586433,1.345451,2.384016
NIT_2015_autumn_maxDepth,0.000921,22.064367,1.427379,2.288422
NIT_2015_year_maxDepth,0.002981,24.981983,1.494738,2.545858
maxNIT_year_maxDepth,0.007146,30.6498,2.239983,3.369829
minNIT_year_maxDepth,1.1e-05,20.2266,0.881858,1.919947
ZSD_2015-01-01,-3.4e+38,33.3348,-2.2258592471358427e+35,8.697955739383141e+36
ZSD_2015-02-01,-3.4e+38,31.3838,-2.2258592471358427e+35,8.697955739383141e+36
ZSD_2015-03-01,-3.4e+38,31.4875,-2.2258592471358427e+35,8.697955739383141e+36
ZSD_2015-04-01,1.32503,37.0545,14.882688,6.133844
ZSD_2015-05-01,1.35589,48.4821,17.897478,8.042307
ZSD_2015-06-01,1.35388,48.255,20.533422,7.695401
ZSD_2015-07-01,1.32387,51.3323,22.237343,8.079986
ZSD_2015-08-01,1.37664,47.2386,22.130581,8.164656
ZSD_2015-09-01,1.42463,47.6536,20.639639,7.658005
ZSD_2015-10-01,1.32468,40.4665,17.45912,6.789974
ZSD_2015-11-01,1.32548,36.8406,16.009277,6.352731
ZSD_2015-12-01,1.35672,34.204,15.781831,5.360899
ZSD_2015_winter,1.445897,29.993967,13.622036,4.724029
ZSD_2015_spring,1.554173,38.4449,14.926502,5.873257
ZSD_2015_summer,1.740937,47.4867,21.633782,7.60221
ZSD_2015_autumn,1.43176,40.478033,18.036012,6.5943
ZSD_2015_year,1.824499,38.748158,17.052966,5.915979
maxZSD_year,3.13293,51.3323,24.369195,7.633144
minZSD_year,1.32009,26.5371,10.08055,5.083103
PHO_2015-01-01,0.003358,0.508458,0.032525,0.021574
PHO_2015-02-01,0.002935,0.352298,0.037667,0.022347
PHO_2015-03-01,0.002301,0.502466,0.027504,0.020863
PHO_2015-04-01,0.004154,0.619282,0.015232,0.017982
PHO_2015-05-01,0.004968,0.518669,0.013422,0.016597
PHO_2015-06-01,0.003653,0.548987,0.012364,0.015473
PHO_2015-07-01,0.003973,0.393598,0.012386,0.013063
PHO_2015-08-01,0.005146,0.315052,0.012151,0.012574
PHO_2015-09-01,0.005075,0.265519,0.011346,0.013277
PHO_2015-10-01,0.003949,0.395534,0.012719,0.016751
PHO_2015-11-01,0.003949,0.397056,0.019056,0.021124
PHO_2015-12-01,0.003405,0.811712,0.028126,0.029328
PHO_2015_winter,0.0033,0.557489,0.032773,0.021385
PHO_2015_spring,0.004269,0.546806,0.018719,0.016368
PHO_2015_summer,0.004779,0.419212,0.0123,0.013383
PHO_2015_autumn,0.004542,0.352703,0.014374,0.016523
PHO_2015_year,0.004688,0.469053,0.019542,0.015292
maxPHO_year,0.006405,0.811712,0.045853,0.030973
minPHO_year,0.002301,0.265519,0.007647,0.007353
PHO_2015-01-01_maxDepth,0.003249,0.77036,0.080029,0.08178
PHO_2015-02-01_maxDepth,0.002935,1.11395,0.067103,0.0769
PHO_2015-03-01_maxDepth,0.002301,0.978936,0.063664,0.075902
PHO_2015-04-01_maxDepth,4.2e-05,0.976686,0.066042,0.077133
PHO_2015-05-01_maxDepth,0.000165,1.05872,0.073877,0.082342
PHO_2015-06-01_maxDepth,0.000513,0.956309,0.07382,0.083863
PHO_2015-07-01_maxDepth,0.001003,0.946374,0.074831,0.085347
PHO_2015-08-01_maxDepth,0.001422,0.891383,0.077943,0.087139
PHO_2015-09-01_maxDepth,0.004628,0.85708,0.08168,0.090419
PHO_2015-10-01_maxDepth,0.003893,0.73471,0.084234,0.091265
PHO_2015-11-01_maxDepth,0.002732,0.81268,0.089267,0.091356
PHO_2015-12-01_maxDepth,0.003405,0.82882,0.091984,0.089117
PHO_2015_winter_maxDepth,0.0033,0.904271,0.079706,0.078857
PHO_2015_spring_maxDepth,0.002652,0.999999,0.067861,0.077176
PHO_2015_summer_maxDepth,0.000979,0.929686,0.075531,0.084905
PHO_2015_autumn_maxDepth,0.004583,0.80149,0.08506,0.090329
PHO_2015_year_maxDepth,0.004565,0.907731,0.07704,0.080849
maxPHO_year_maxDepth,0.006359,1.11395,0.108331,0.095252
minPHO_year_maxDepth,4.2e-05,0.73471,0.048378,0.068053
VHM0_2015-01-01,0.111934,5.46378,1.159653,0.85123
VHM0_2015-02-01,0.08644,4.88853,1.400751,0.982761
VHM0_2015-03-01,0.078749,2.77683,0.462528,0.396759
VHM0_2015-04-01,0.07885,4.96393,0.815231,0.655458
VHM0_2015-05-01,0.078478,1.60531,0.416466,0.283829
VHM0_2015-06-01,0.078503,1.1197,0.216002,0.126403
VHM0_2015-07-01,0.078699,0.980808,0.243014,0.176115
VHM0_2015-08-01,0.078833,1.18592,0.316189,0.194465
VHM0_2015-09-01,0.078686,0.962683,0.261621,0.16663
VHM0_2015-10-01,0.084441,4.40512,0.710508,0.656798
VHM0_2015-11-01,0.081216,5.12067,1.088341,0.949323
VHM0_2015-12-01,0.078699,2.46642,0.568205,0.442715
VHM0_2015_winter,0.160679,3.46353,1.04287,0.537964
VHM0_2015_spring,0.079042,2.234156,0.564742,0.347723
VHM0_2015_summer,0.078807,0.703278,0.258402,0.13467
VHM0_2015_autumn,0.10897,2.083821,0.686824,0.428959
VHM0_2015_year,0.120369,1.78318,0.638209,0.259297
maxVHM0_year,0.214274,5.46378,2.029827,1.053396
minVHM0_year,0.078478,0.518148,0.14505,0.069478
Med_bathym,-2416.8,0.0,-52.526123,123.992103
Distance_to_Major_Cities,0.003797,2.739462,0.684396,0.416251
Distance_to_Complete_Cities,1.5e-05,1.035467,0.041698,0.045799
Distance_to_Port,0.000344,1.250071,0.256428,0.218323
Distance_to_Major_River,0.020776,9.84244,2.075341,1.605869
Distance_to_Complete_River,0.0,1.124733,0.066913,0.086419
Distance_to_Coast,0.0,1.006843,0.01419,0.024843
Presence,0.0,1.0,0.579705,0.493687
